Asset_Name,Ticker,Price_1_Month_Ago,Price_Latest,Monthly_Change_Percent,Risk_Signal,Updated_At
China_Stock_CSI300_ETF,ASHR,33.93,33.77,-0.47,안정적 (Stable),2026-09-21 16:01:15
USD_CNY_Exchange,CNY=X,6.72,6.71,-0.2,안정적 (Stable),2026-09-21 16:01:15
Safe_Haven_Gold,GC=F,4697.8,4424.9,-5.81,안정적 (Stable),2026-09-21 16:01:15
